Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2016,1,1000,Alabama,4741355,814197,796927,831467,"796,927 to 831,467",17.2,16.8,17.6,16.8 to 17.6,1081979,267674,258276,277072,"258,276 to 277,072",24.7,23.8,25.6,23.8 to 25.6,791471,185889,177569,194209,"177,569 to 194,209",23.5,22.4,24.6,22.4 to 24.6,287177,78675,74257,83093,"74,257 to 83,093",27.4,25.9,28.9,25.9 to 28.9,46309,45650,46968,"$45,650 to $46,968"
2015,1,1000,Alabama,4736374,875853,859781,891925,"859,781 to 891,925",18.5,18.2,18.8,18.2 to 18.8,1087692,288450,280320,296580,"280,320 to 296,580",26.5,25.8,27.2,25.8 to 27.2,797216,201222,194143,208301,"194,143 to 208,301",25.2,24.3,26.1,24.3 to 26.1,287164,84382,80530,88234,"80,530 to 88,234",29.4,28.1,30.7,28.1 to 30.7,44833,44110,45556,"$44,110 to $45,556"
2014,1,1000,Alabama,4727546,905682,888317,923047,"888,317 to 923,047",19.2,18.8,19.6,18.8 to 19.6,1091420,298682,290188,307176,"290,188 to 307,176",27.4,26.6,28.2,26.6 to 28.2,799916,207154,199920,214388,"199,920 to 214,388",25.9,25,26.8,25.0 to 26.8,288183,88203,83938,92468,"83,938 to 92,468",30.6,29.1,32.1,29.1 to 32.1,42917,42335,43499,"$42,335 to $43,499"
2013,1,1000,Alabama,4716072,889091,873141,905041,"873,141 to 905,041",18.9,18.6,19.2,18.6 to 19.2,1096240,300649,291502,309796,"291,502 to 309,796",27.4,26.6,28.2,26.6 to 28.2,801058,205023,197115,212931,"197,115 to 212,931",25.6,24.6,26.6,24.6 to 26.6,291362,92126,87734,96518,"87,734 to 96,518",31.6,30.1,33.1,30.1 to 33.1,42882,42260,43504,"$42,260 to $43,504"
2012,1,1000,Alabama,4706967,896515,880205,912825,"880,205 to 912,825",19,18.7,19.3,18.7 to 19.3,1111278,306451,298963,313939,"298,963 to 313,939",27.6,26.9,28.3,26.9 to 28.3,808562,208811,202516,215106,"202,516 to 215,106",25.8,25,26.6,25.0 to 26.6,299413,94623,90649,98597,"90,649 to 98,597",31.6,30.3,32.9,30.3 to 32.9,41610,41143,42077,"$41,143 to $42,077"
2011,1,1000,Alabama,4687327,896117,879174,913060,"879,174 to 913,060",19.1,18.7,19.5,18.7 to 19.5,1114604,307310,298317,316303,"298,317 to 316,303",27.6,26.8,28.4,26.8 to 28.4,812029,209724,201714,217734,"201,714 to 217,734",25.8,24.8,26.8,24.8 to 26.8,298962,94184,89925,98443,"89,925 to 98,443",31.5,30.1,32.9,30.1 to 32.9,41427,40894,41960,"$40,894 to $41,960"
2010,1,1000,Alabama,4667040,883078,867106,899050,"867,106 to 899,050",18.9,18.6,19.2,18.6 to 19.2,1115210,305292,296223,314361,"296,223 to 314,361",27.4,26.6,28.2,26.6 to 28.2,811713,207778,199900,215656,"199,900 to 215,656",25.6,24.6,26.6,24.6 to 26.6,299655,93895,89540,98250,"89,540 to 98,250",31.3,29.8,32.8,29.8 to 32.8,40538,40081,40995,"$40,081 to $40,995"
2009,1,1000,Alabama,4588886,805223,789114,821333,"789,114 to 821,333",17.5,17.2,17.9,17.2 to 17.9,1115169,274243,265833,282654,"265,833 to 282,654",24.6,23.8,25.3,23.8 to 25.3,800884,181942,175085,188799,"175,085 to 188,799",22.7,21.9,23.6,21.9 to 23.6,311058,89398,84576,94221,"84,576 to 94,221",28.7,27.2,30.3,27.2 to 30.3,40547,40037,41057,"$40,037 to $41,057"
2008,1,1000,Alabama,4541753,721875,706983,736766,"706,983 to 736,766",15.9,15.6,16.2,15.6 to 16.2,1105914,244661,236008,253314,"236,008 to 253,314",22.1,21.3,22.9,21.3 to 22.9,794750,157565,149941,165189,"149,941 to 165,189",19.8,18.9,20.8,18.9 to 20.8,305031,82291,78070,86511,"78,070 to 86,511",27,25.6,28.4,25.6 to 28.4,42586,41924,43248,"$41,924 to $43,248"
2007,1,1000,Alabama,4506569,750197,734699,765695,"734,699 to 765,695",16.6,16.3,17,16.3 to 17.0,1105467,261151,252546,269756,"252,546 to 269,756",23.6,22.8,24.4,22.8 to 24.4,797945,174665,166811,182519,"166,811 to 182,519",21.9,20.9,22.9,20.9 to 22.9,302511,81858,78293,85424,"78,293 to 85,424",27.1,25.9,28.2,25.9 to 28.2,40596,40178,41014,"$40,178 to $41,014"
2006,1,1000,Alabama,4482161,743556,730298,756815,"730,298 to 756,815",16.6,16.3,16.9,16.3 to 16.9,1097080,253314,246023,260606,"246,023 to 260,606",23.1,22.4,23.8,22.4 to 23.8,796679,171004,164556,177452,"164,556 to 177,452",21.5,20.7,22.3,20.7 to 22.3,294334,77388,74009,80767,"74,009 to 80,767",26.3,25.1,27.4,25.1 to 27.4,38811,38320,39302,"$38,320 to $39,302"
2005,1,1000,Alabama,4429785,749592,734673,764511,"734,673 to 764,511",16.9,16.6,17.3,16.6 to 17.3,1072696,260919,252894,268944,"252,894 to 268,944",24.3,23.6,25.1,23.6 to 25.1,772561,172197,165523,178871,"165,523 to 178,871",22.3,21.4,23.2,21.4 to 23.2,293225,83890,79692,88088,"79,692 to 88,088",28.6,27.2,30,27.2 to 30.0,36936,36431,37441,"$36,431 to $37,441"
2004,1,1000,Alabama,4463171,717483,675992,758974,"675,992 to 758,974",16.1,15.1,17,15.1 to 17.0,1082849,245017,226152,263881,"226,152 to 263,881",22.6,20.9,24.4,20.9 to 24.4,775423,160787,143834,177740,"143,834 to 177,740",20.7,18.5,22.9,18.5 to 22.9,295125,77330,68732,85928,"68,732 to 85,928",26.2,23.3,29.1,23.3 to 29.1,37062,35614,38510,"$35,614 to $38,510"
2003,1,1000,Alabama,4436894,677455,644647,710263,"644,647 to 710,263",15.3,14.5,16,14.5 to 16.0,1091889,243658,227912,259403,"227,912 to 259,403",22.3,20.9,23.8,20.9 to 23.8,788134,165578,153639,177517,"153,639 to 177,517",21,19.5,22.5,19.5 to 22.5,293161,72477,62361,82594,"62,361 to 82,594",24.7,21.3,28.2,21.3 to 28.2,36131,34659,37602,"$34,659 to $37,602"
2002,1,1000,Alabama,4414359,679856,646828,712885,"646,828 to 712,885",15.4,14.7,16.1,14.7 to 16.1,1104233,238077,221362,254791,"221,362 to 254,791",21.6,20,23.1,20.0 to 23.1,798787,156495,142450,170540,"142,450 to 170,540",19.6,17.8,21.3,17.8 to 21.3,297647,76033,66986,85079,"66,986 to 85,079",25.5,22.5,28.6,22.5 to 28.6,35943,34186,37700,"$34,186 to $37,700"
2001,1,1000,Alabama,4373427,685071,655302,714839,"655,302 to 714,839",15.7,15,16.3,15.0 to 16.3,1096934,242907,223243,262570,"223,243 to 262,570",22.1,20.4,23.9,20.4 to 23.9,797182,160001,142584,177418,"142,584 to 177,418",20.1,17.9,22.3,17.9 to 22.3,289881,75623,68058,83188,"68,058 to 83,188",26.1,23.5,28.7,23.5 to 28.7,34761,33377,36145,"$33,377 to $36,145"
2000,1,1000,Alabama,4371402,637119,606255,667982,"606,255 to 667,982",14.6,13.9,15.3,13.9 to 15.3,1104080,226222,209959,242486,"209,959 to 242,486",20.5,19,22,19.0 to 22.0,800291,147165,133140,161190,"133,140 to 161,190",18.4,16.6,20.1,16.6 to 20.1,296196,72407,64066,80747,"64,066 to 80,747",24.4,21.6,27.3,21.6 to 27.3,34923,33241,36606,"$33,241 to $36,606"
1999,1,1000,Alabama,4368014,667468,625251,709685,"625,251 to 709,685",15.3,14.3,16.2,14.3 to 16.2,1120718,248412,220295,276528,"220,295 to 276,528",22.2,19.7,24.7,19.7 to 24.7,804291,161413,137117,185709,"137,117 to 185,709",20.1,17,23.1,17.0 to 23.1,293558,80329,66230,94427,"66,230 to 94,427",27.4,22.6,32.2,22.6 to 32.2,33840,32372,35309,"$32,372 to $35,309"
1998,1,1000,Alabama,4348444,681788,639118,724458,"639,118 to 724,458",15.7,14.7,16.7,14.7 to 16.7,1088427,254628,228439,280817,"228,439 to 280,817",23.4,21,25.8,21.0 to 25.8,789510,166164,143204,189124,"143,204 to 189,124",21,18.1,24,18.1 to 24.0,295264,81804,69287,94320,"69,287 to 94,320",27.7,23.5,31.9,23.5 to 31.9,33204,31213,35194,"$31,213 to $35,194"
1997,1,1000,Alabama,NA,700944,657324,744563,"657,324 to 744,563",16.2,15.2,17.2,15.2 to 17.2,NA,260970,239479,282460,"239,479 to 282,460",23.8,21.8,25.7,21.8 to 25.7,NA,174333,155844,192822,"155,844 to 192,822",22.1,19.8,24.5,19.8 to 24.5,NA,77360,66700,88020,"66,700 to 88,020",25.5,22,29,22.0 to 29.0,30790,29131,32448,"$29,131 to $32,448"
1996,1,1000,Alabama,NA,717822,674862,760782,"674,862 to 760,782",16.7,15.7,17.7,15.7 to 17.7,NA,273655,251970,295340,"251,970 to 295,340",25,23.1,27,23.1 to 27.0,NA,176441,156534,196348,"156,534 to 196,348",22.5,20,25.1,20.0 to 25.1,NA,87340,77001,97679,"77,001 to 97,679",29.2,25.8,32.7,25.8 to 32.7,29618,27833,31403,"$27,833 to $31,403"
1995,1,1000,Alabama,NA,752097,723535,780659,"723,535 to 780,659",17.6,17,18.3,17.0 to 18.3,NA,291046,275169,306922,"275,169 to 306,922",26.4,25,27.8,25.0 to 27.8,NA,187857,176899,198815,"176,899 to 198,815",23.8,22.4,25.2,22.4 to 25.2,NA,96545,84990,108101,"84,990 to 108,101",31.6,27.8,35.4,27.8 to 35.4,27357,25953,28761,"$25,953 to $28,761"
1993,1,1000,Alabama,NA,790351,748956,831746,"748,956 to 831,746",18.8,17.8,19.8,17.8 to 19.8,NA,288512,268119,308905,"268,119 to 308,905",26.2,24.4,28.1,24.4 to 28.1,NA,187081,169998,204164,"169,998 to 204,164",24.2,22,26.4,22.0 to 26.4,NA,93816,86303,101329,"86,303 to 101,329",30.2,27.8,32.6,27.8 to 32.6,25907,24739,27075,"$24,739 to $27,075"
1989,1,1000,Alabama,NA,709148,683798,734498,"683,798 to 734,498",17.7,17,18.3,17.0 to 18.3,NA,258656,243761,273551,"243,761 to 273,551",24.1,22.7,25.5,22.7 to 25.5,NA,175217,162956,187478,"162,956 to 187,478",22.7,21.1,24.3,21.1 to 24.3,NA,75536,66684,84388,"66,684 to 84,388",25.9,22.9,29,22.9 to 29.0,22202,21126,23278,"$21,126 to $23,278"
2016,2,2000,Alaska,723955,71916,67813,76019,"67,813 to 76,019",9.9,9.3,10.5,9.3 to 10.5,183650,24897,22566,27228,"22,566 to 27,228",13.6,12.3,14.9,12.3 to 14.9,130053,16061,13965,18157,"13,965 to 18,157",12.3,10.7,13.9,10.7 to 13.9,52408,7919,6898,8940,"6,898 to 8,940",15.1,13.2,17,13.2 to 17.0,76144,74375,77913,"$74,375 to $77,913"
2015,2,2000,Alaska,720764,74941,71399,78483,"71,399 to 78,483",10.4,9.9,10.9,9.9 to 10.9,182947,26564,24660,28468,"24,660 to 28,468",14.5,13.5,15.5,13.5 to 15.5,127815,16959,15367,18551,"15,367 to 18,551",13.3,12.1,14.5,12.1 to 14.5,53886,8535,7584,9486,"7,584 to 9,486",15.8,14,17.6,14.0 to 17.6,73391,71522,75260,"$71,522 to $75,260"
2014,2,2000,Alaska,717708,81622,77611,85633,"77,611 to 85,633",11.4,10.8,12,10.8 to 12.0,182233,28273,26300,30246,"26,300 to 30,246",15.5,14.4,16.6,14.4 to 16.6,128484,18113,16500,19726,"16,500 to 19,726",14.1,12.8,15.4,12.8 to 15.4,52597,9170,8090,10250,"8,090 to 10,250",17.4,15.3,19.5,15.3 to 19.5,70898,69423,72373,"$69,423 to $72,373"
2013,2,2000,Alaska,718370,72643,69056,76230,"69,056 to 76,230",10.1,9.6,10.6,9.6 to 10.6,184278,25030,23088,26972,"23,088 to 26,972",13.6,12.5,14.7,12.5 to 14.7,129048,16118,14436,17800,"14,436 to 17,800",12.5,11.2,13.8,11.2 to 13.8,54521,8148,7208,9088,"7,208 to 9,088",14.9,13.2,16.6,13.2 to 16.6,70058,68425,71691,"$68,425 to $71,691"
2012,2,2000,Alaska,715616,77494,74043,80945,"74,043 to 80,945",10.8,10.3,11.3,10.3 to 11.3,184137,28125,26359,29891,"26,359 to 29,891",15.3,14.3,16.3,14.3 to 16.3,129377,17409,15915,18903,"15,915 to 18,903",13.5,12.3,14.7,12.3 to 14.7,53810,9792,8887,10697,"8,887 to 10,697",18.2,16.5,19.9,16.5 to 19.9,66503,65013,67993,"$65,013 to $67,993"
2011,2,2000,Alaska,706859,76021,72599,79443,"72,599 to 79,443",10.8,10.3,11.3,10.3 to 11.3,185264,27192,25130,29254,"25,130 to 29,254",14.7,13.6,15.8,13.6 to 15.8,130935,17857,16000,19714,"16,000 to 19,714",13.6,12.2,15,12.2 to 15.0,53606,8473,7472,9474,"7,472 to 9,474",15.8,13.9,17.7,13.9 to 17.7,65699,64147,67251,"$64,147 to $67,251"
2010,2,2000,Alaska,696834,76850,72916,80784,"72,916 to 80,784",11,10.4,11.6,10.4 to 11.6,183629,27209,25096,29322,"25,096 to 29,322",14.8,13.6,16,13.6 to 16.0,129536,15714,13861,17567,"13,861 to 17,567",12.1,10.7,13.5,10.7 to 13.5,52945,10481,9515,11447,"9,515 to 11,447",19.8,18,21.6,18.0 to 21.6,63456,62061,64851,"$62,061 to $64,851"
2009,2,2000,Alaska,682420,61949,58489,65410,"58,489 to 65,410",9.1,8.6,9.6,8.6 to 9.6,180201,22221,20228,24213,"20,228 to 24,213",12.3,11.2,13.4,11.2 to 13.4,125670,13145,11501,14789,"11,501 to 14,789",10.5,9.2,11.8,9.2 to 11.8,53015,8017,6908,9125,"6,908 to 9,125",15.1,13,17.2,13.0 to 17.2,66712,65176,68247,"$65,176 to $68,247"
2008,2,2000,Alaska,669799,61871,58506,65236,"58,506 to 65,236",9.2,8.7,9.7,8.7 to 9.7,176013,21872,20117,23628,"20,117 to 23,628",12.4,11.4,13.4,11.4 to 13.4,123653,12927,11387,14467,"11,387 to 14,467",10.5,9.2,11.7,9.2 to 11.7,50635,7582,6768,8396,"6,768 to 8,396",15,13.4,16.6,13.4 to 16.6,67332,65719,68945,"$65,719 to $68,945"
2007,2,2000,Alaska,666598,65266,62165,68367,"62,165 to 68,367",9.8,9.3,10.3,9.3 to 10.3,178786,23356,21652,25060,"21,652 to 25,060",13.1,12.1,14,12.1 to 14.0,127442,13787,12273,15301,"12,273 to 15,301",10.8,9.6,12,9.6 to 12.0,49754,8104,7332,8877,"7,332 to 8,877",16.3,14.7,17.8,14.7 to 17.8,62854,61569,64138,"$61,569 to $64,138"
2006,2,2000,Alaska,651952,71120,68060,74180,"68,060 to 74,180",10.9,10.4,11.4,10.4 to 11.4,177342,25804,24148,27461,"24,148 to 27,461",14.6,13.6,15.5,13.6 to 15.5,127591,16364,14831,17897,"14,831 to 17,897",12.8,11.6,14,11.6 to 14.0,48764,8346,7629,9063,"7,629 to 9,063",17.1,15.6,18.6,15.6 to 18.6,58572,57446,59699,"$57,446 to $59,699"
2005,2,2000,Alaska,637576,69093,65951,72236,"65,951 to 72,236",10.8,10.3,11.3,10.3 to 11.3,183124,25976,24182,27769,"24,182 to 27,769",14.2,13.2,15.2,13.2 to 15.2,131910,16841,15328,18354,"15,328 to 18,354",12.8,11.6,13.9,11.6 to 13.9,49196,7757,6911,8602,"6,911 to 8,602",15.8,14,17.5,14.0 to 17.5,55477,54210,56743,"$54,210 to $56,743"
2004,2,2000,Alaska,649816,64660,58937,70382,"58,937 to 70,382",10,9.1,10.8,9.1 to 10.8,187685,24243,21287,27199,"21,287 to 27,199",12.9,11.3,14.5,11.3 to 14.5,134824,14841,12221,17461,"12,221 to 17,461",11,9.1,13,9.1 to 13.0,50252,7493,6109,8877,"6,109 to 8,877",14.9,12.2,17.7,12.2 to 17.7,52141,50454,53827,"$50,454 to $53,827"
2003,2,2000,Alaska,642387,63126,58920,67332,"58,920 to 67,332",9.8,9.2,10.5,9.2 to 10.5,186983,23342,21006,25679,"21,006 to 25,679",12.5,11.2,13.7,11.2 to 13.7,134531,14330,12571,16089,"12,571 to 16,089",10.7,9.3,12,9.3 to 12.0,49058,7651,6153,9148,"6,153 to 9,148",15.6,12.5,18.6,12.5 to 18.6,52391,50764,54018,"$50,764 to $54,018"
2002,2,2000,Alaska,636327,58932,54562,63302,"54,562 to 63,302",9.3,8.6,9.9,8.6 to 9.9,186944,21902,19441,24362,"19,441 to 24,362",11.7,10.4,13,10.4 to 13.0,136112,14342,12253,16431,"12,253 to 16,431",10.5,9,12.1,9.0 to 12.1,47976,6380,5076,7684,"5,076 to 7,684",13.3,10.6,16,10.6 to 16.0,51844,49860,53827,"$49,860 to $53,827"
2001,2,2000,Alaska,628085,54357,50228,58486,"50,228 to 58,486",8.7,8,9.3,8.0 to 9.3,187524,21568,18517,24620,"18,517 to 24,620",11.5,9.9,13.1,9.9 to 13.1,135101,13565,10870,16260,"10,870 to 16,260",10,8,12,8.0 to 12.0,47821,6449,5360,7539,"5,360 to 7,539",13.5,11.2,15.8,11.2 to 15.8,52332,50506,54158,"$50,506 to $54,158"
2000,2,2000,Alaska,616957,52442,48413,56471,"48,413 to 56,471",8.5,7.8,9.2,7.8 to 9.2,184393,21145,18573,23717,"18,573 to 23,717",11.5,10.1,12.9,10.1 to 12.9,135020,13500,11223,15777,"11,223 to 15,777",10,8.3,11.7,8.3 to 11.7,46507,6269,5017,7520,"5,017 to 7,520",13.5,10.8,16.2,10.8 to 16.2,51433,49341,53525,"$49,341 to $53,525"
1999,2,2000,Alaska,616255,53963,47918,60009,"47,918 to 60,009",8.8,7.8,9.7,7.8 to 9.7,188567,21176,16621,25730,"16,621 to 25,730",11.2,8.8,13.6,8.8 to 13.6,139424,14137,10154,18120,"10,154 to 18,120",10.1,7.3,13,7.3 to 13.0,46880,5625,3631,7619,"3,631 to 7,619",12,7.7,16.3,7.7 to 16.3,49133,47528,50738,"$47,528 to $50,738"
1998,2,2000,Alaska,611654,65970,59011,72929,"59,011 to 72,929",10.8,9.6,11.9,9.6 to 11.9,191317,28014,22829,33199,"22,829 to 33,199",14.6,11.9,17.4,11.9 to 17.4,142297,19387,14599,24175,"14,599 to 24,175",13.6,10.3,17,10.3 to 17.0,46424,7182,5094,9270,"5,094 to 9,270",15.5,11,20,11.0 to 20.0,47177,45029,49325,"$45,029 to $49,325"
1997,2,2000,Alaska,NA,68409,61430,75389,"61,430 to 75,389",11.2,10,12.3,10.0 to 12.3,NA,31968,27574,36361,"27,574 to 36,361",16.2,13.9,18.4,13.9 to 18.4,NA,21786,17981,25591,"17,981 to 25,591",15.1,12.5,17.8,12.5 to 17.8,NA,8906,6843,10969,"6,843 to 10,969",17.3,13.3,21.3,13.3 to 21.3,43657,41257,46057,"$41,257 to $46,057"
1996,2,2000,Alaska,NA,64480,57707,71252,"57,707 to 71,252",10.6,9.5,11.7,9.5 to 11.7,NA,28707,24513,32901,"24,513 to 32,901",14.8,12.7,17,12.7 to 17.0,NA,18547,14661,22433,"14,661 to 22,433",13.3,10.5,16.1,10.5 to 16.1,NA,8598,6705,10491,"6,705 to 10,491",16.8,13.1,20.5,13.1 to 20.5,44797,41914,47680,"$41,914 to $47,680"
1995,2,2000,Alaska,NA,60735,56869,64600,"56,869 to 64,600",10.1,9.4,10.7,9.4 to 10.7,NA,25270,22264,28276,"22,264 to 28,276",13.2,11.6,14.8,11.6 to 14.8,NA,15234,13009,17459,"13,009 to 17,459",11.2,9.6,12.8,9.6 to 12.8,NA,8180,6144,10215,"6,144 to 10,215",15.7,11.8,19.6,11.8 to 19.6,42255,40268,44242,"$40,268 to $44,242"
1993,2,2000,Alaska,NA,67099,60751,73447,"60,751 to 73,447",11.2,10.1,12.2,10.1 to 12.2,NA,30628,26543,34713,"26,543 to 34,713",15.9,13.7,18,13.7 to 18.0,NA,17496,13969,21023,"13,969 to 21,023",13.3,10.6,16,10.6 to 16.0,NA,11548,10105,12991,"10,105 to 12,991",20.3,17.8,22.9,17.8 to 22.9,39431,37807,41055,"$37,807 to $41,055"
1989,2,2000,Alaska,NA,57539,54059,61019,"54,059 to 61,019",10.6,10,11.3,10.0 to 11.3,NA,26590,24359,28821,"24,359 to 28,821",15.4,14.1,16.7,14.1 to 16.7,NA,14701,12957,16445,"12,957 to 16,445",12.9,11.3,14.4,11.3 to 14.4,NA,9989,8476,11502,"8,476 to 11,502",17.7,15.1,20.4,15.1 to 20.4,33885,31839,35931,"$31,839 to $35,931"
2016,4,4000,Arizona,6771106,1107153,1086482,1127824,"1,086,482 to 1,127,824",16.4,16.1,16.7,16.1 to 16.7,1601458,377445,365817,389073,"365,817 to 389,073",23.6,22.9,24.3,22.9 to 24.3,1165956,263614,253154,274074,"253,154 to 274,074",22.6,21.7,23.5,21.7 to 23.5,428317,106817,101686,111948,"101,686 to 111,948",24.9,23.7,26.1,23.7 to 26.1,53481,52863,54099,"$52,863 to $54,099"
2015,4,4000,Arizona,6671708,1159046,1136666,1181426,"1,136,666 to 1,181,426",17.4,17.1,17.7,17.1 to 17.7,1595858,394337,382324,406350,"382,324 to 406,350",24.7,23.9,25.5,23.9 to 25.5,1168887,274270,263324,285216,"263,324 to 285,216",23.5,22.6,24.4,22.6 to 24.4,419762,113218,108523,117913,"108,523 to 117,913",27,25.9,28.1,25.9 to 28.1,51473,51046,51900,"$51,046 to $51,900"
2014,4,4000,Arizona,6573428,1195889,1175667,1216111,"1,175,667 to 1,216,111",18.2,17.9,18.5,17.9 to 18.5,1589975,406457,396052,416862,"396,052 to 416,862",25.6,24.9,26.3,24.9 to 26.3,1161729,278735,269805,287665,"269,805 to 287,665",24,23.2,24.8,23.2 to 24.8,418588,118958,113468,124448,"113,468 to 124,448",28.4,27.1,29.7,27.1 to 29.7,50036,49561,50511,"$49,561 to $50,511"
2013,4,4000,Arizona,6477186,1206948,1184107,1229789,"1,184,107 to 1,229,789",18.6,18.2,19,18.2 to 19.0,1590036,422435,409848,435022,"409,848 to 435,022",26.6,25.8,27.4,25.8 to 27.4,1157423,289696,278496,300896,"278,496 to 300,896",25,24,26,24.0 to 26.0,421785,122889,117153,128625,"117,153 to 128,625",29.1,27.7,30.5,27.7 to 30.5,48504,47932,49076,"$47,932 to $49,076"
2012,4,4000,Arizona,6401276,1195931,1177400,1214462,"1,177,400 to 1,214,462",18.7,18.4,19,18.4 to 19.0,1592569,430378,418981,441775,"418,981 to 441,775",27,26.3,27.7,26.3 to 27.7,1155367,291886,282134,301638,"282,134 to 301,638",25.3,24.5,26.1,24.5 to 26.1,428510,130571,124662,136480,"124,662 to 136,480",30.5,29.1,31.9,29.1 to 31.9,47796,47213,48379,"$47,213 to $48,379"
2011,4,4000,Arizona,6336450,1201376,1176529,1226223,"1,176,529 to 1,226,223",19,18.6,19.4,18.6 to 19.4,1597593,434571,420527,448615,"420,527 to 448,615",27.2,26.3,28.1,26.3 to 28.1,1147251,294963,282593,307333,"282,593 to 307,333",25.7,24.6,26.8,24.6 to 26.8,442654,132554,125574,139534,"125,574 to 139,534",29.9,28.3,31.5,28.3 to 31.5,46710,46173,47247,"$46,173 to $47,247"
2010,4,4000,Arizona,6272700,1105075,1082284,1127866,"1,082,284 to 1,127,866",17.6,17.2,18,17.2 to 18.0,1605114,401664,387835,415493,"387,835 to 415,493",25,24.1,25.9,24.1 to 25.9,1147352,263822,251690,275954,"251,690 to 275,954",23,21.9,24.1,21.9 to 24.1,448669,129973,123200,136746,"123,200 to 136,746",29,27.5,30.5,27.5 to 30.5,46787,46278,47296,"$46,278 to $47,296"
2009,4,4000,Arizona,6475512,1065728,1045152,1086305,"1,045,152 to 1,086,305",16.5,16.1,16.8,16.1 to 16.8,1702644,396006,383185,408827,"383,185 to 408,827",23.3,22.5,24,22.5 to 24.0,1185875,254203,243872,264534,"243,872 to 264,534",21.4,20.6,22.3,20.6 to 22.3,509060,134617,127395,141838,"127,395 to 141,838",26.4,25,27.9,25.0 to 27.9,48711,48242,49180,"$48,242 to $49,180"
2008,4,4000,Arizona,6379305,935247,915163,955331,"915,163 to 955,331",14.7,14.3,15,14.3 to 15.0,1678065,347462,335697,359227,"335,697 to 359,227",20.7,20,21.4,20.0 to 21.4,1162739,223217,213298,233136,"213,298 to 233,136",19.2,18.3,20.1,18.3 to 20.1,505169,116264,110425,122103,"110,425 to 122,103",23,21.9,24.2,21.9 to 24.2,51009,50506,51512,"$50,506 to $51,512"
2007,4,4000,Arizona,6225517,876120,855871,896369,"855,871 to 896,369",14.1,13.7,14.4,13.7 to 14.4,1639127,327941,316503,339380,"316,503 to 339,380",20,19.3,20.7,19.3 to 20.7,1140422,209683,199940,219426,"199,940 to 219,426",18.4,17.5,19.2,17.5 to 19.2,489088,109652,103335,115970,"103,335 to 115,970",22.4,21.1,23.7,21.1 to 23.7,49923,49433,50414,"$49,433 to $50,414"
2006,4,4000,Arizona,6052140,860355,842853,877857,"842,853 to 877,857",14.2,13.9,14.5,13.9 to 14.5,1597211,316241,305732,326749,"305,732 to 326,749",19.8,19.1,20.5,19.1 to 20.5,1117931,203223,194057,212389,"194,057 to 212,389",18.2,17.4,19,17.4 to 19.0,469806,104911,99716,110107,"99,716 to 110,107",22.3,21.2,23.4,21.2 to 23.4,47315,46890,47740,"$46,890 to $47,740"
2005,4,4000,Arizona,5802687,836742,818414,855071,"818,414 to 855,071",14.4,14.1,14.7,14.1 to 14.7,1546935,323003,311747,334258,"311,747 to 334,258",20.9,20.2,21.6,20.2 to 21.6,1084364,205175,196027,214323,"196,027 to 214,323",18.9,18.1,19.8,18.1 to 19.8,452724,110038,103639,116437,"103,639 to 116,437",24.3,22.9,25.7,22.9 to 25.7,44402,43799,45004,"$43,799 to $45,004"
2004,4,4000,Arizona,5842118,853587,795925,911249,"795,925 to 911,249",14.6,13.6,15.6,13.6 to 15.6,1573902,338384,306966,369802,"306,966 to 369,802",21.5,19.5,23.5,19.5 to 23.5,1088316,214962,187998,241926,"187,998 to 241,926",19.8,17.3,22.2,17.3 to 22.2,456722,112042,96304,127781,"96,304 to 127,781",24.5,21.1,28,21.1 to 28.0,43696,42282,45110,"$42,282 to $45,110"
